발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생시구,발생시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2012,2012030805,야간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1097891,1691224,128.5755134,35.21160102
2012,2012061500,야간,금,1,2,1,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,승용차,보행자,1097707,1689838,128.5733277,35.19912341
2013,2013011104,야간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1108886,1691595,128.6963406,35.21381241
2013,2013041013,주간,수,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로부근,건설기계,보행자,1092024,1695736,128.5115677,35.25283521
2013,2013082304,야간,금,1,3,2,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1098237,1693801,128.5796219,35.23480015
2013,2013120505,야간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1108426,1685563,128.690494,35.15948249
2014,2014031416,주간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,1100766,1703148,128.6085588,35.31881544
2014,2014081307,주간,수,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1096871,1688645,128.5640052,35.18844886
2014,2014102206,주간,수,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1097148,1689646,128.5671653,35.19744669
2014,2014102211,주간,수,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,1103763,1695535,128.640561,35.24987578
2015,2015061408,주간,일,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,1120323,1678726,128.820096,35.0964941
2015,2015091214,주간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승합차,보행자,1105758,1684046,128.6610111,35.14609049
2016,2016043004,야간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,1106994,1691690,128.6755693,35.21487246
2016,2016051213,주간,목,1,3,1,1,0,경남,창원시(통합),차대사람,횡단중,횡단중,중앙선 침범,교차로,교차로부근,승용차,보행자,1110194,1691218,128.7106584,35.21027086
2016,2016071210,주간,화,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1101284,1698978,128.6137412,35.28116932
2016,2016100700,야간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1098850,1693499,128.5863214,35.2320172
2016,2016102023,야간,목,1,2,0,1,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,1097798,1692029,128.5745874,35.2188676
2016,2016110402,야간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,과속,교차로,교차로부근,승용차,보행자,1098894,1691176,128.5865257,35.21106989
2016,2016112408,주간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1103804,1695291,128.6409808,35.2476718
2016,2016121616,주간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1092020,1695313,128.5114763,35.24902196
2017,2017011605,야간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1108157,1698819,128.6892833,35.27901656
2017,2017020718,야간,화,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,보행자,1106645,1684791,128.670843,35.15271323
2017,2017021800,야간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,1109825,1684820,128.7057529,35.15263229
2017,2017021814,주간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,과속,교차로,교차로부근,승용차,보행자,1096163,1689824,128.5563675,35.19914633
2017,2017040606,주간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1097164,1693435,128.5677883,35.23160507
2017,2017112217,주간,수,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,보행자,1088054,1680286,128.4662831,35.11389678
2017,2017122514,주간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,이륜차,보행자,1097231,1689084,128.5680106,35.1923719
2018,2018010118,야간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1108112,1698821,128.6887888,35.27903946
2018,2018012218,야간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,승용차,보행자,1102485,1694751,128.6264179,35.24293934
2018,2018041219,야간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,화물차,보행자,1098721,1694590,128.585035,35.24186579
2018,2018052111,주간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1089830,1680412,128.4857836,35.11487587
2018,2018061720,야간,일,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1103696,1697558,128.6400801,35.2681206
2018,2018072721,야간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1097935,1689919,128.5758415,35.19983145
2018,2018072903,야간,일,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1104286,1693999,128.6461139,35.23597401
2018,2018083019,야간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1102455,1696773,128.6263404,35.26117138
2018,2018111720,야간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,이륜차,보행자,1108472,1684926,128.6909153,35.15373481
2018,2018100118,야간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,1100834,1695628,128.6083823,35.25101334
2018,2018081703,야간,금,1,2,1,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1098728,1694577,128.5851103,35.2417479
2018,2018112622,야간,월,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,보행자,1096361,1690170,128.5585828,35.20224674
2018,2018121523,야간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1101351,1696428,128.614163,35.25817345
2018,2018102702,야간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,과속,교차로,교차로내,승용차,보행자,1098507,1690916,128.5822434,35.20876394
2018,2018091800,야간,화,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,1108194,1692547,128.6888641,35.22246973
2019,2019021613,주간,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,기타,교차로,교차로내,승용차,보행자,1097128,1690643,128.5670632,35.20643715
2019,2019042612,주간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,1108018,1685267,128.6859764,35.15685791
2019,2019070522,야간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,1097231,1689103,128.5680128,35.19254319
2019,2019082020,야간,화,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1090960,1679293,128.4980594,35.1046856
2019,2019082321,야간,금,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,1097975,1693345,128.5766887,35.23071473
