년도,시군구코드,시도명,,폴리곤,총사고건수,총사망자수,총중상자수,총경상자수,총부상신고자수,사고분석유형명,중심점UTMK X좌표,중심점UTMK Y좌표
2017,48121,경상남도 창원시 의창구내에서 2017년도에 반경50m 이내 다른사고8건 이상 발생지역,38057,"POLYGON  (( 1101765.21550000 1697039.03530000, 1101765.69540000 1697039.93300000, 1101767.57350000 1697042.22150000, 1101772.19400000 1697050.86580000, 1101775.03930000 1697060.24550000, 1101776.00000000 1697070.00000000, 1101775.03930000 1697079.75450000",8,0,6,6,1,기타 / 안전거리미확보,1101702,1697077
2017,48121,경상남도 창원시 의창구내에서 2017년도에 반경50m 이내 다른사고8건 이상 발생지역,38058,"POLYGON  (( 1102726.11040000 1696745.00170000, 1102726.24550000 1696744.96070000, 1102736.00000000 1696744.00000000, 1102745.75450000 1696744.96070000, 1102755.13420000 1696747.80600000, 1102763.77850000 1696752.42650000, 1102771.35530000 1696758.64470000",14,0,3,15,1,기타 / 안전거리미확보,1102691,1696810
2017,48121,경상남도 창원시 의창구내에서 2017년도에 반경50m 이내 다른사고8건 이상 발생지역,38059,"POLYGON  (( 1104778.77850000 1694590.42650000, 1104784.39760000 1694595.03800000, 1104791.24550000 1694592.96070000, 1104801.00000000 1694592.00000000, 1104810.75450000 1694592.96070000, 1104820.13420000 1694595.80600000, 1104828.77850000 1694600.42650000",21,0,5,26,1,U턴중 / 기타 / 안전거리미확보,1104732,1694673
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38061,"POLYGON  (( 1110667.00000000 1689414.00000000, 1110666.03930000 1689423.75450000, 1110663.19400000 1689433.13420000, 1110658.57350000 1689441.77850000, 1110652.35530000 1689449.35530000, 1110644.77850000 1689455.57350000, 1110636.13420000 1689460.19400000",6,3,6,8,0,기타,1110577,1689432
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38062,"POLYGON  (( 1109481.12650000 1689957.94000000, 1109485.77850000 1689960.42650000, 1109493.35530000 1689966.64470000, 1109499.57350000 1689974.22150000, 1109504.19400000 1689982.86580000, 1109506.66050000 1689990.99690000, 1109508.19400000 1689993.86580000",6,0,1,8,0,U턴중 / 기타,1109445,1690001
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38063,"POLYGON  (( 1108780.00000000 1691901.00000000, 1108779.03930000 1691910.75450000, 1108776.19400000 1691920.13420000, 1108771.57350000 1691928.77850000, 1108768.11420000 1691932.99370000, 1108768.03930000 1691933.75450000, 1108765.19400000 1691943.13420000",6,0,5,6,0,U턴중 / 기타,1108708,1691922
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38064,"POLYGON  (( 1107078.00000000 1691652.00000000, 1107077.03930000 1691661.75450000, 1107074.19400000 1691671.13420000, 1107073.69850000 1691672.06110000, 1107073.03930000 1691678.75450000, 1107070.19400000 1691688.13420000, 1107065.57350000 1691696.77850000",8,0,8,7,0,기타,1107005,1691682
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38065,"POLYGON  (( 1109738.08880000 1690355.18560000, 1109738.69190000 1690355.36850000, 1109738.75270000 1690355.38700000, 1109742.64470000 1690350.64470000, 1109750.22150000 1690344.42650000, 1109758.86580000 1690339.80600000, 1109768.24550000 1690336.96070000",8,0,3,8,0,U턴중 / 기타,1109721,1690413
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38066,"POLYGON  (( 1108099.67910000 1692561.03160000, 1108100.00000000 1692561.00000000, 1108101.00000000 1692561.09850000, 1108102.00000000 1692561.00000000, 1108111.75450000 1692561.96070000, 1108121.13420000 1692564.80600000, 1108129.77850000 1692569.42650000",7,0,1,6,0,기타,1108078,1692601
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38067,"POLYGON  (( 1107843.73040000 1692462.25680000, 1107852.13420000 1692464.80600000, 1107860.77850000 1692469.42650000, 1107868.35530000 1692475.64470000, 1107874.57350000 1692483.22150000, 1107879.19400000 1692491.86580000, 1107882.03930000 1692501.24550000",7,0,1,9,0,U턴중 / 기타,1107813,1692531
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38068,"POLYGON  (( 1107312.22890000 1692456.31800000, 1107318.75450000 1692456.96070000, 1107328.13420000 1692459.80600000, 1107336.77850000 1692464.42650000, 1107344.35530000 1692470.64470000, 1107350.57350000 1692478.22150000, 1107355.19400000 1692486.86580000",6,0,8,8,0,기타,1107284,1692516
